h3,lat,lon,area,CIS,CIS_adj,hidden_uplift_%,enf_days,police_station
8960145a86bffff,12.95213704920331,77.4811066942429,Gangamma Layout,2.54,3.89,53.0,1,Jnanabharathi
8961892cddbffff,13.024392692337893,77.61103323261645,SH Layout,2.54,3.89,53.0,1,K.G. Halli
8961892cbd3ffff,13.058634009828122,77.5983663710469,Vinayaka Block,2.54,3.89,53.0,1,Hebbala
8960145ad17ffff,12.915821960354489,77.47930790051808,Kengeri Satellite Town,2.54,3.89,53.0,1,Kengeri
8960145b527ffff,12.970056614741695,77.55776554722262,New Binny Layout,2.54,3.89,53.0,1,Magadi Road
8961892edc7ffff,12.96979697981391,77.63358941821699,Cambridge Layout,2.4,3.41,42.0,2,Halasur
8960145b347ffff,13.014936880509353,77.55851509840478,Malleshwaram West,2.4,3.41,42.0,2,Malleshwaram
89601459177ffff,13.042829574290504,77.51927781353537,Pratham Casa Serene,2.4,3.41,42.0,2,Chikkabanavara
896189254d7ffff,12.922548481752138,77.68577817321757,RMZ Ecoworld,2.4,3.48,45.0,2,HAL Old Airport
8960169044fffff,13.197282779726041,77.71400306486524,Kempegowda International Airport Devanahalli,2.4,3.41,42.0,2,Devanahalli Airport
89618924b47ffff,12.910212005581158,77.55676649513339,RR Layout,2.4,3.41,42.0,2,K.S. Layout
8960145b2d3ffff,13.013773400579682,77.58918471084283,Enayathulla Mehkri Circle,2.4,3.41,42.0,2,R.T. Nagar
8960145a217ffff,12.960472938463186,77.54738003212442,Tippu Chowk,2.4,3.48,45.0,2,Magadi Road
8960145a247ffff,12.970084095371389,77.54934465622169,NR Garden,2.4,3.41,42.0,2,Magadi Road
8960145a413ffff,12.924085734767694,77.56241137926789,Kadirenahalli New Colony,2.4,3.41,42.0,2,Banashankari
896189259dbffff,12.934665837000143,77.59266927212755,Muslim Colony,2.4,3.41,42.0,2,Jayanagara
8960145a243ffff,12.97114288981873,77.55236984972315,Binnipete,2.4,3.41,42.0,2,Magadi Road
8960145945bffff,13.039483208042922,77.5691545415295,Dollars Colony,2.4,3.41,42.0,2,Kodigehalli
8960169605bffff,13.106767227139915,77.58292206117918,DSR RR Avenues,2.4,3.41,42.0,2,Yelahanka
89618925d63ffff,12.926110400092387,77.5937288658644,Roshan Colony BTB Area,2.37,3.63,53.0,1,Jayanagara
8961892ea2bffff,13.018987970623783,77.62960622702458,Ramdev Garden,2.37,3.63,53.0,1,Banaswadi
89618920b77ffff,12.959929358686988,77.6990697841912,Anand Nagar,2.23,3.17,42.0,2,HAL Old Airport
8961892628fffff,12.853113297915554,77.66592359032171,Nanjuda Reddy Layout,2.23,3.24,45.0,2,Electronic City
