lat,lon,kind,name
12.8714097,77.5383958,Metro,Thalaghattapura
12.8774369,77.5447414,Metro,Vajarahalli
12.8846435,77.5527546,Metro,Doddakallasandra
12.8889671,77.5626665,Metro,Konanakunte Cross
13.0220475,77.5514003,Bus station,KSRTC Pickup Point
12.9734315,77.6112855,Mall,Star Bazaar
12.9229439,77.6757363,Market,
12.8040143,77.6970648,Market,Manjunatha Provision Store
12.7260477,77.8598177,Market,Bathalapalli Vegetable Market
12.9965359,77.6684581,Metro,Benniganahalli
12.8973303,77.4612175,Metro,Challaghatta
12.897289,77.4612476,Metro,Challaghatta
13.104773,77.5770781,Market,Fruit and Vegetable Market
12.8290325,77.6813744,Metro,Biocon Hebbagodi
13.0660899,77.5993983,Market,
13.0047715,77.5693819,Mall,Manyavar Mohey
13.0006043,77.5694526,Mall,Kamakshi Silk
13.0479536,77.5001422,Metro,Nagasandra
13.0232678,77.5498751,Metro,Yeshwantpur
12.9856503,77.7470121,Metro,Kadugodi Tree Park
13.3942093,77.7297279,Bus station,SJCIT Bus Stand
12.8972797,77.6454852,Bus station,Hosapalya Bus Stop
13.1346318,77.6677548,Market,
12.8303187,77.866158,Bus station,பாகலூர் பேருந்து நிலையம்
12.9386959,77.7475284,Market,
12.9825963,77.6108753,Mall,Westside
12.7304363,77.833107,Market,M.G.R Marketplace
12.965718,77.5762706,Market,City Market
12.9345856,77.6112435,Mall,Nexus Koramangala
12.9618019,77.6387296,Bus station,Domlur Bus Station
12.9640735,77.577792,Bus station,KR Market Bus Terminus
12.9850548,77.6058687,Market,Russel Market
12.9603969,77.5771506,Bus station,Kalasipalyam Bus Stand
13.0217758,77.5478499,Market,Yeshwantpur RMC Yard
12.9723089,77.5959385,Mall,UB City
12.9661345,77.7178871,Mall,Brookfield Mall
13.0942029,77.5951482,Mall,The Galleria Mall
13.0031612,77.5708466,Market,13th Cross Road
12.9653039,77.5627769,Market,APMC
12.9589791,77.5354787,Bus station,Hampinagara Bus Station
12.9596656,77.7478555,Mall,Nexus Whitefield
12.9375355,77.6281117,Mall,Oasis Centre
12.9700438,77.6096803,Mall,Garuda Mall
12.9990337,77.5705388,Market,Malleshwaram 8th Cross Market
12.9143458,77.5994854,Mall,Gopalan Innovation Mall
12.9725477,77.650537,Market,Thippasandra Market
12.940967,77.625052,Bus station,Koramangala TTMC
12.9869853,77.7364154,Mall,Park Square Mall
12.9957008,77.7585103,Bus station,Kadugodi Bus Station
12.9956989,77.7585204,Bus station,Kadugodi Bus Station
12.9657586,77.6580829,Bus station,Jeevan Bhima Nagar Bus Depot
12.9506553,77.5912883,Market,HOPCOMS
12.958635,77.6567676,Mall,Kemp Fort Mall
12.9355908,77.5177172,Mall,Gopalan Arcade Mall
12.9654668,77.534673,Bus station,Vijayanagar Bus Stand
12.9884247,77.5336659,Bus station,Sharada Colony Bus Depot
12.9722407,77.6066085,Mall,Mota Royal Arcade
12.9607453,77.66696,Market,HAL Market
12.9734281,77.6203876,Mall,One M G Road
13.0490834,77.5933929,Mall,Esteem Mall
12.9173272,77.5891568,Bus station,Atal Bihari Vajpayee Bus Stand
12.9177649,77.572995,Bus station,Banashankari TTMC
12.9162842,77.5923408,Mall,Mantri Junction
12.9585186,77.5534667,Mall,Gopalan Mall
12.9829196,77.5594515,Mall,Golden Heights Mall
12.9123867,77.6006154,Mall,Commerce @ Mantri
12.9788896,77.6276716,Market,Murphy Town Market
12.9750683,77.5775136,Market,Janata Bazaar
12.9175199,77.5729498,Bus station,
12.9929432,77.6615107,Mall,Gopalan Signature Mall
13.0109648,77.5552202,Mall,Orion Mall
12.9934419,77.6640393,Mall,Gopalan Grand Mall
12.9752286,77.6055684,Mall,Shrungar Shopping Center
13.0122259,77.5539301,Mall,@home
13.0977739,77.394133,Bus station,Nelamangala BMTC Bus Stand
13.014572,77.6826324,Market,Sunday Market
12.9832087,77.6030764,Bus station,Shivajinagar Bus Station
12.9785416,77.6276986,Market,Halasuru Fruit and Vegetable Market
13.0066717,77.5821335,Market,Janatha Bazaar
12.8359802,77.6571821,Bus station,Shikaripalya
12.7351576,77.8273994,Bus station,Hosur Main Bus Stand
13.0420117,77.5902014,Market,
12.9219021,77.620384,Mall,Market Square Mall
13.0076873,77.695047,Market,KR Puram Vegetable Market
12.9781534,77.572425,Bus station,Kempegowda Bus Station
12.9156888,77.6162448,Bus station,Kuvempunagara Bus Station
12.9077073,77.6011533,Mall,Nexus Vega City
13.3931761,77.8619687,Market,Silk Cocoon Market
13.392433,77.8643717,Bus station,Sidlaghatta New Bus stand
13.3844754,77.8623871,Bus station,Sidlaghatta Bus Stand
13.019717,77.55489,Market,Yeshwanthpur Fish Market
13.020626,77.5545697,Market,Yeshwanthpur Market
12.8994801,77.558449,Bus station,ISRO Layout Bus Stand
13.0328303,77.5540115,Bus station,Choudeshwari Bus Stand
13.0158948,77.5451364,Market,Yeshwanthpur APMC Market
13.0088483,77.5688359,Bus station,Malleswaram 18th Cross
12.709008,77.6963688,Bus station,Anekal Bus Stand
