n_zones,zone_frac,impact_cov,violation_cov
200,0.07892659826361484,0.8271168677058163,0.7382800851078088
201,0.07932123125493291,0.8278835502091684,0.7393121010571462
202,0.07971586424625099,0.8286494075620806,0.7403072592940073
203,0.08011049723756906,0.8294146767316847,0.741171740186634
204,0.08050513022888714,0.830176974244589,0.7421266900098845
205,0.08089976322020521,0.8309355277954207,0.7431721087637588
206,0.08129439621152329,0.8316919993862885,0.7439092630132855
207,0.08168902920284135,0.8324412202074963,0.7448508100319992
208,0.08208366219415943,0.8331835069753213,0.7461341285664025
209,0.0824782951854775,0.833921223567766,0.7471091825964583
210,0.08287292817679558,0.8346530698166695,0.7480641324197088
211,0.08326756116811365,0.8353836458597166,0.7489688217259461
212,0.08366219415943173,0.8361108246336504,0.7500510981922968
213,0.0840568271507498,0.8368367130184272,0.7510429057280236
214,0.08445146014206788,0.837556809063416,0.7518671782070399
215,0.08484609313338595,0.8382759090032851,0.7527249576973982
216,0.08524072612470403,0.8389936981312343,0.753495618958267
217,0.0856353591160221,0.8397040621274812,0.7544706729883228
218,0.08602999210734018,0.8404131338316753,0.7557137831091156
219,0.08642462509865825,0.8411203400712586,0.7565581597949371
220,0.08681925808997633,0.841817883346791,0.7574293420898323
221,0.08721389108129439,0.842515218365008,0.7582804201779222
222,0.08760852407261246,0.8431966077311187,0.7592655263113807
223,0.08800315706393054,0.8438759347148055,0.7601266565028733
224,0.08839779005524862,0.844552255997761,0.7607264320058972
225,0.08879242304656669,0.845225510168422,0.7616009650019266
226,0.08918705603788477,0.8458911998656371,0.7627569568932299
227,0.08958168902920284,0.8465508377751739,0.7640067684162911
228,0.08997632202052092,0.8472050387253081,0.7646769086431335
229,0.09037095501183899,0.8478587273786405,0.7655346881334919
230,0.09076558800315707,0.8485085753927356,0.7663120507966292
231,0.09116022099447514,0.849146649987152,0.7672066879994639
232,0.09155485398579322,0.8497835182978524,0.7679806999614669
233,0.09194948697711129,0.8504158924323101,0.7690462229221464
234,0.09234411996842937,0.8510473022578245,0.7697833771716732
235,0.09273875295974743,0.8516682839811667,0.7705004272143946
236,0.0931333859510655,0.8522867450610222,0.7714486756353767
237,0.09352801894238358,0.8529046897596293,0.7723131565280035
238,0.09392265193370165,0.8535189345992443,0.773268106351254
239,0.09431728492501973,0.8541288048638283,0.7739952084973781
240,0.0947119179163378,0.854730441324925,0.7747089078389653
