h3,lat,lon,area,cost_year,CIS,n_parking
8961892ee9bffff,12.994290567118663,77.66110412075771,Gopalan Signature Mall,20440.0,53.1,398
8960145913bffff,13.0396264138995,77.51862330049558,Jalahalli Cross Junction,19423.076158940396,52.91,328
896014584dbffff,12.97972212171336,77.54288890404297,Jai Maniurao Circle,17825.778145695367,52.88,315
896189242abffff,12.906722039531704,77.6319185399078,S Nazir Sab Layout,24340.1821192053,52.77,414
896189255cbffff,12.921558536506367,77.66588650818304,Iblur Junction,18451.837748344373,52.7,314
8960145a24bffff,12.974346666764987,77.5530248173705,Mehta Ambience,17857.927152317883,52.55,334
89618924a73ffff,12.916558977154455,77.57491765773244,Banashankari Bus Stand Junction,17136.266556291393,52.52,321
8961892598fffff,12.928287507057185,77.58293518453068,Shri Vinayaka Circle,16336.77152317881,52.44,312
8960145b18fffff,12.980754238915388,77.55433480803576,Sri SV Chenna Krishnaiah Circle,16527.973509933778,52.15,295
89618925897ffff,12.930341874842888,77.60583531147711,Bharthi Layout,19890.082781456953,52.06,374
89601459573ffff,13.02888566155813,77.53889517457397,Godrej Tiara,18736.102649006625,51.98,285
896189240d3ffff,12.886366511472866,77.64180657097084,Ramaiah Reddy Layout,19940.844370860934,51.77,337
89618925b0bffff,12.95927241754358,77.58646373439501,SGN Layout,15961.135761589403,51.62,310
8961892ed77ffff,12.975178287371058,77.62344587499432,Someshwarpura,18769.097682119205,51.43,357
8960145a323ffff,12.956292854012514,77.51844520631552,Manasa Layout,20311.887417218542,51.34,327
8961892598bffff,12.929345470257015,77.58596122731961,Jayanagar,14968.746688741723,51.3,282
89618925a4fffff,12.973090635017432,77.60896358860293,ACR Towers,17174.337748344373,51.23,326
8960169644fffff,13.092845123558911,77.5941261893677,Taralabalu Enclave,20922.23509933775,51.14,361
8961892cb0bffff,13.064007072691387,77.58822330042037,Oscar Orchards,21057.7201986755,51.04,346
8961892e16fffff,12.995349105006893,77.66413373661831,Gopalan Grand Mall,18790.248344370862,50.95,323
89618925917ffff,12.930433802467139,77.58056462933536,Shri Vinayaka Circle,18829.16556291391,50.93,359
89618924823ffff,12.888810734815376,77.56362631625919,Gopalan Jewels,14822.384105960267,50.93,286
8961892e2a3ffff,13.008081785457465,77.69206334820882,Devasandra Junction,17309.701986754968,50.93,295
89618925893ffff,12.931399742044785,77.6088622321862,Prestige Lexington Towers,17335.082781456957,50.91,254
896189266abffff,12.839159727030651,77.67712517552575,Salarpuria Sattva Alexandria Tech Park,19437.458609271525,50.79,337
89601458293ffff,13.006486381902432,77.52589207416636,Freedom Fighters Colony,16654.031456953642,50.77,227
8961892e97bffff,12.994464504109935,77.61052809387535,Pulikeshi Nagar,23553.37748344371,50.71,405
896014586d7ffff,12.997884669381127,77.54379282655572,Adarsha Layout,17478.907284768215,50.6,306
8961892738fffff,12.897993367933013,77.67511954390868,Azalea,17425.728476821194,50.41,313
89618925407ffff,12.92473072346298,77.67497411796947,Bellandur Junction,15279.238410596028,49.91,268
8960145a35bffff,12.964790114814127,77.53422054791118,Nethravathi Government Quarters,16988.211920529804,49.77,310
8960145b3abffff,13.004266174021565,77.5535240130023,Rajaji Nagar,17936.728476821194,49.72,308
8961892536bffff,12.966561599774819,77.64136173248946,Dr BR Ambedkar Circle,18058.435430463578,49.71,297
8960145b26bffff,13.026642129988996,77.57495714752065,Armane Nagar,14936.597682119205,49.7,258
8961892ec23ffff,12.97832387916077,77.64095929419824,KFC Circle,16895.995033112584,49.65,285
8960145a27bffff,12.972228985891457,77.54697444222346,Ganesha Garden,16624.420529801326,49.59,312
8961892f69bffff,13.046376216057984,77.750590060611,Subhams Antique City,14110.029801324505,49.56,220
8960145a13bffff,12.934928591103922,77.51688889862493,Gopalan Arcade,16679.41225165563,49.45,281
89618925a47ffff,12.969885988228674,77.60830762943112,St Patricks Complex,19703.956953642388,49.34,383
89618927313ffff,12.901199136152883,77.67577653638581,Kristal Jasper Villa,15287.69867549669,49.27,291
89618920bb7ffff,12.944956711432003,77.6988127291264,Bellandur Amanikere,19568.592715231793,49.17,285
89618920bdbffff,12.95665716463066,77.71528225991652,Arvind Avenue,16849.46357615894,49.15,270
8960145a423ffff,12.926261301857247,77.55162135202855,Kathriguppe Circle,17360.46357615894,49.1,323
896189244d7ffff,12.870269843242141,77.65537896148665,Channakeshava Nagar,17419.685430463578,49.08,296
8960145b14fffff,12.995714115056856,77.55458446587357,Police Quarters,15249.627483443712,48.98,246
89618925c6fffff,12.93566235768038,77.61254521974081,UCO Bank Junction,14805.463576158942,48.97,256
8961892422fffff,12.913164839283809,77.62480457111374,Krimson Square,13344.25496688742,48.95,230
8961892ed23ffff,12.97091500621219,77.61976181361369,Craig Park Layout,16624.420529801326,48.83,291
89601696683ffff,13.09817031930295,77.60083855243236,Raitarasanthe,20143.89072847682,48.8,371
8960145b09bffff,12.98708039380219,77.58091312924857,Dr Hardikar Circle,13555.882450331126,48.77,252
8960145a2c3ffff,12.963648908672718,77.55645548005769,JJR Nagar Circle,16408.683774834437,48.61,260
8960145b44fffff,12.988111530650189,77.59236433522646,BKM Gowda Circle,13942.516556291392,48.61,254
89618924ccfffff,12.875863675679925,77.59468900825031,Royal Meenakshi Mall,15651.49006622517,48.34,294
8960145865bffff,13.009639703435223,77.54338706689265,Sri Vasavi Garden,14543.195364238414,48.3,257
8961892ed47ffff,12.977295201608934,77.62950203911403,Tamarikannan Junction,12484.933774834437,48.25,179
8961892582bffff,12.944279200708989,77.59463614663089,Arepanahalli,13739.470198675497,48.2,261
8961892436fffff,12.913229247138487,77.60795400563495,MICO Employees House Building Cooperative Society,17521.208609271525,48.06,345
8961892cc57ffff,13.035039416000531,77.62445884662056,Rajath Greens,18984.834437086094,47.96,373
89618925817ffff,12.937839856820876,77.60174905374147,Dairy Circle,13950.976821192055,47.86,200
89618920b03ffff,12.955632666064934,77.70381603022663,SJR Spencer,15046.701986754968,47.85,256
8961892e383ffff,13.000641779890618,77.67928366926746,Venkatappa Colony,16438.294701986757,47.78,232
8961892cb93ffff,13.051165495400351,77.5940268180026,Esteem Mall,15359.610927152318,47.57,267
89618920b73ffff,12.960987156191159,77.70210047933398,Anand Nagar,12216.622516556294,47.55,231
