h3,lat,lon,day,hour,window,risk,risk_low,risk_high,cell_rate
89618920923ffff,12.933223647523132,77.69077993064658,Tue,4,04:00-05:00,8.1641369798104,3.644882059884959,12.727783605375357,293.4347826086956
89618920923ffff,12.933223647523132,77.69077993064658,Sat,5,05:00-06:00,8.160500369919164,3.6719233899230863,11.136041999045592,293.4347826086956
8960145b553ffff,12.976409087424585,77.5759204607417,Thu,10,10:00-11:00,8.085246392746706,3.730432695827819,10.64413120259659,527.0869565217391
8960145b59bffff,12.96465116440439,77.57632508363632,Sun,1,01:00-02:00,8.0349592430912,3.7807348984993743,10.635327189821803,373.2608695652174
8960145b59bffff,12.96465116440439,77.57632508363632,Wed,1,01:00-02:00,8.023460015125565,3.754176966014616,9.95454891689336,373.2608695652174
8960145b427ffff,12.97746783062643,77.57894671319185,Sun,1,01:00-02:00,7.911224736984112,3.9138674941405363,10.715114685148794,320.39130434782606
8961892e9abffff,12.981645967305287,77.60790407487231,Sat,10,10:00-11:00,7.796676968326912,3.579553662116049,9.015620764872763,289.8695652173913
8960145b553ffff,12.976409087424585,77.5759204607417,Sun,6,06:00-07:00,7.562618013501121,3.997455426842132,10.471106141503796,527.0869565217391
89618920923ffff,12.933223647523132,77.69077993064658,Thu,5,05:00-06:00,7.555840393639773,3.474262657234246,12.077699827136064,293.4347826086956
8961892e917ffff,12.982704611494386,77.61093157697483,Sun,11,11:00-12:00,7.499984893596363,2.5092825739290165,8.360891633141907,211.91304347826087
8961892e9abffff,12.981645967305287,77.60790407487231,Mon,11,11:00-12:00,7.493480336084605,3.6969056338225013,10.801307486920761,289.8695652173913
89618920923ffff,12.933223647523132,77.69077993064658,Wed,9,09:00-10:00,7.48717046418667,3.509088475792698,10.987135028573054,293.4347826086956
8960145b59bffff,12.96465116440439,77.57632508363632,Fri,1,01:00-02:00,7.460181410617011,3.6100798078478347,9.979146917933548,373.2608695652174
8960145b59bffff,12.96465116440439,77.57632508363632,Tue,1,01:00-02:00,7.4434772101891,3.7454391662830204,10.19773246173873,373.2608695652174
8960145b553ffff,12.976409087424585,77.5759204607417,Fri,10,10:00-11:00,7.441611576611189,3.758748231802966,11.019078383993424,527.0869565217391
89618920963ffff,12.94069311529191,77.69512487563676,Thu,8,08:00-09:00,7.433695818446084,0.043478260869565216,9.510326400246594,65.6086956521739
8960145b59bffff,12.96465116440439,77.57632508363632,Sun,0,00:00-01:00,7.4051608818896995,3.6078975235192816,10.488776876448663,373.2608695652174
8960145b553ffff,12.976409087424585,77.5759204607417,Sat,5,05:00-06:00,7.383414834994223,3.8533744242858985,10.257637549436138,527.0869565217391
8960145b427ffff,12.97746783062643,77.57894671319185,Wed,1,01:00-02:00,7.232485790103132,3.858052281959387,8.770160479872795,320.39130434782606
8961892e9abffff,12.981645967305287,77.60790407487231,Mon,9,09:00-10:00,7.204837099786683,3.759399477237377,11.189495477005266,289.8695652173913
89618920923ffff,12.933223647523132,77.69077993064658,Tue,5,05:00-06:00,7.198282817015732,3.6119853504527937,11.964705541233712,293.4347826086956
89618920923ffff,12.933223647523132,77.69077993064658,Thu,3,03:00-04:00,7.171398813186078,1.9577539091318323,9.417441296575744,293.4347826086956
8960145b5cbffff,12.974263654955623,77.57829127810561,Sun,8,08:00-09:00,7.148629427934379,3.980191829937949,10.771387480534267,260.5217391304348
8961892e9bbffff,12.979499946671595,77.61027556237418,Mon,11,11:00-12:00,7.0629304641007575,1.9747301522841383,7.571980701623286,185.08695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Sat,11,11:00-12:00,7.0375639288973595,3.5984625180949816,9.076550098566432,289.8695652173913
